variable,state,mean,mean_zscore,trend,trend_zscore,is_mean_outlier,is_trend_outlier
CDD,AZ,77.61428111626476,2.5018295493756897,0.3565197027730395,2.0735511369951496,True,True
CDD,CA,116.39492615946666,4.528230181158252,0.5965343998548096,3.8951286760663426,True,True
CDD,NV,69.50565402420408,2.0781303807843376,0.202591827133538,0.9053245062470592,True,False
FD,CT,0.0,-2.090838395017608,0.0,3.6045417097482884,True,True
FD,FL,7.428241114728992,-1.943126157382063,-0.5999267691925233,2.8658312271548056,False,True
GSL,CT,0.0,-4.276818642924782,0.0,-2.460478925102631,True,True
GSL,FL,364.21542095879,1.4304047493566474,0.09363311747610069,-2.3852031106262945,False,True
GSL,LA,359.1252340371341,1.3506419710704236,0.5325683492944885,-2.032323617044096,False,True
R95p,CT,0.0,-2.32548727975645,0.0,-1.9009267353078527,True,False
Rx5day,AL,150.35426114894827,1.5915308837497202,1.7136408032262622,2.0700178814138197,False,True
Rx5day,CT,0.0,-2.9790767737272503,0.0,-1.508643772661942,True,False
Rx5day,GA,131.93973219829414,1.0317490299629983,1.8635497854678866,2.3830785446167555,False,True
Rx5day,LA,169.66245777063398,2.1784792725534317,0.7370873102788277,0.030643858698456462,True,False
Rx5day,TX,108.61390400201807,0.322668966942534,-0.2880308411690498,-2.1101495984699232,False,True
SDII,CT,0.0,-3.3915235977105187,0.0,-2.296208572077336,True,True
SDII,TX,10.126634321896617,0.532238705298813,-0.0016295583018050878,-2.384281547876707,False,True
TR,FL,153.0453294004213,3.0830309119629287,4.325813944445602,1.0113697438260656,True,False
TR,LA,130.66866434490996,2.483100285350452,4.095066697375875,0.8701548165268067,True,False
TXge95F,AZ,74.29959017877033,2.6878147060619724,3.328757673924801,0.6878634848669615,True,False
TXge95F,FL,33.28560639783516,0.5907822470063036,5.577077761178719,2.266036547347752,False,True
TXge95F,LA,46.7385342942712,1.2786263398611777,5.516657123080511,2.2236252270001415,False,True
TXge95F,MS,44.02154797808606,1.1397076596792544,5.239109832448436,2.0288052544689803,False,True
TXge95F,OK,66.14569135093046,2.270908350386657,4.088737430958949,1.2213193692765971,True,False
TXge95F,TX,80.88287935173764,3.024416269977338,4.884147148245927,1.7796447592307374,True,False
