variable,state,value_2014,delta_2014_2024,delta_2024_2034,delta_2034_2044,delta_2044_2054,total_delta,national_delta,significantly_different,p_value
TNn,AL,3.280451618981511,0.48339023240760026,0.3882496000733715,0.5672455925833884,0.26807079540701295,1.706956220471373,1.6106393036926185,False,0.7984261874110943
TNn,AR,1.9562458157583842,0.278758685853701,0.7149285228009865,0.34540209873761185,0.41147117298842417,1.7505604803807235,1.6106393036926185,False,0.7717050490962153
TNn,AZ,1.5496385494339109,-0.044366445583695624,0.5292969130135923,0.27916265594422196,0.2770185117145858,1.0411116350887044,1.6106393036926185,False,0.32716147708786275
TNn,CA,1.1150421777507997,0.11310405651031474,0.39112441769857975,0.35563029349869524,0.14910399935637364,1.0089627670639634,1.6106393036926185,False,0.16390338460067833
TNn,CO,-9.940686234492501,0.39767792685476167,0.44802065557171034,0.30733103185904653,0.267779092098273,1.4208087063837915,1.6106393036926185,False,0.5526683943696713
TNn,DC,1.1858333749999999,0.34416646000000073,0.6608334566666658,0.3741667249999998,0.5366665091666665,1.9158331508333328,1.6106393036926185,False,0.4626952691193852
TNn,DE,0.29696399366187326,0.47316951566074533,0.5863052218282306,0.4292409491250133,0.47442851902089056,1.9631442056348798,1.6106393036926185,False,0.2643738427767687
TNn,FL,9.319630033239681,0.7444897837849744,0.04040531593130403,0.9124914615766464,0.13170849890243197,1.8290950601953568,1.6106393036926185,False,0.8177598612543772
TNn,GA,4.141874078837288,0.6559258744150931,0.16838229381659264,0.6494536114716922,0.42851506963784836,1.9022768493412263,1.6106393036926185,False,0.599181272231595
TNn,IA,-6.138408761365352,0.738810258766148,0.9897636274157113,0.4205830076015027,0.24172019427643487,2.390877088059797,1.6106393036926185,False,0.3148927791240279
TNn,ID,-9.688754728193151,0.19063808748259703,0.6879447017980969,0.20650276921461774,0.12407073121650747,1.209156289711819,1.6106393036926185,False,0.5129434658228749
TNn,IL,-3.115947991088634,0.7358822166918442,0.8860834735635268,0.4803377469307817,0.548176935513286,2.650480372699439,1.6106393036926185,False,0.05880204682355558
TNn,IN,-3.3875249971729477,0.6989587362352316,0.7224211919251542,0.661801190922578,0.7355332813241523,2.8187144004071163,1.6106393036926185,True,0.00359205793503333
TNn,KS,-3.334794299447523,0.411461022537817,0.6265382267113861,0.2833741774208125,0.2381655961575282,1.5595390228275439,1.6106393036926185,False,0.909336626982511
TNn,KY,-1.6037312239594386,0.3813694091619937,0.6799836074416893,0.6563424963409769,0.6176820519611215,2.335377564905781,1.6106393036926185,False,0.10041298266952434
TNn,LA,6.196562291923826,0.3126664523760496,0.5761022584953492,0.48477152978197147,0.20451777168640284,1.5780580123397732,1.6106393036926185,False,0.9406048691855244
TNn,MA,-4.239994161970812,0.5801395611086089,0.32099015219178373,0.4731559714446325,0.6505227131000835,2.0248083978451086,1.6106393036926185,False,0.32041944114760346
TNn,MD,-0.42531929633732135,0.40753315226599973,0.6316027803110987,0.4732629949876138,0.4919778151506973,2.0043767427154098,1.6106393036926185,False,0.2585210681947096
TNn,ME,-8.559076478520792,0.8933126506108993,-0.4236390116416642,0.9663855472232319,0.7017934264340457,2.1378526126265127,1.6106393036926185,False,0.7036903789893426
TNn,MI,-6.573653034751723,0.9675955021762777,0.5056257290975879,0.7256224074176822,0.2847241006632011,2.483567739354749,1.6106393036926185,False,0.2203899538483026
TNn,MN,-10.284300677945575,0.7623465597311814,0.8625241690950247,0.618190627939498,0.07001446005146317,2.3130758168171672,1.6106393036926185,False,0.385509066116228
TNn,MO,-2.1700191613600617,0.423374510021868,0.8439649957943413,0.32646850755418455,0.4752108685735041,2.0690188819438977,1.6106393036926185,False,0.41079597499588094
TNn,MS,3.755122182155547,0.353575555617883,0.5262353782670868,0.3960861235290771,0.326943269918198,1.602840327332245,1.6106393036926185,False,0.9806605757270797
TNn,MT,-11.513004191130074,0.1635542763835094,0.7145275870600614,0.22418919431583006,-0.19478486209623647,0.9074861956631644,1.6106393036926185,False,0.4074869065618126
TNn,NC,1.040316438572305,0.5495282587720571,0.48332442724351354,0.44692163219541436,0.7274171337173403,2.2071914519283253,1.6106393036926185,False,0.14391466287452281
TNn,ND,-11.27891882526003,0.7216820248116278,0.8465352750937107,0.19148475504666962,0.4116719130560842,2.1713739680080923,1.6106393036926185,False,0.4186715083191403
TNn,NE,-7.122317613335162,0.13588169753305035,0.9241276201564652,0.3241292041227224,0.2580412587208958,1.6421797805331337,1.6106393036926185,False,0.9676691469418046
TNn,NH,-7.800336330536655,0.7047303777046547,-0.04249055881236785,0.7540318984602381,0.6693492124745264,2.0856209298270514,1.6106393036926185,False,0.5726628142056589
TNn,NJ,-1.6020953508706295,0.6130385247755761,0.48399178156784506,0.3657219505826269,0.48542194784171006,1.9481742047677582,1.6106393036926185,False,0.33732480453305386
TNn,NM,-3.088235713616667,-0.02638519157545849,0.5511192354782461,0.30801736010595837,0.032677682859265644,0.8654290868680117,1.6106393036926185,False,0.2534774227495448
TNn,NV,-6.084781978588335,0.3343512603180754,0.631543151604629,0.30564249309194746,0.23043518906281868,1.5019720940774706,1.6106393036926185,False,0.8105872611064999
TNn,NY,-6.2823369420046395,0.7479307321516888,0.39387004128085046,0.5264017179921288,0.7806837909160382,2.4488862823407063,1.6106393036926185,False,0.10986266563698203
TNn,OH,-3.880060227246417,0.6853127062399782,0.5170381485041151,0.7963420036398978,0.7440504402828179,2.742743298666809,1.6106393036926185,True,0.01789658850132341
TNn,OK,0.7346825066636354,0.3761484474104869,0.4869767165130192,0.40261152880609585,0.10316854194976166,1.3689052346793638,1.6106393036926185,False,0.5838997851149543
TNn,OR,-5.549922574442697,0.1413323320702915,0.3713967267896585,0.33220884275029317,0.07855431396079293,0.9234922155710361,1.6106393036926185,False,0.12187284620363045
TNn,PA,-4.760160741159957,0.4990631434706687,0.5766918892649349,0.5796246937047917,0.7240238989003993,2.3794036253407946,1.6106393036926185,False,0.05044836662165636
TNn,RI,-2.445456614795218,0.7050472380821724,0.39562020005346765,0.397783754511443,0.66261213609568,2.161063328742763,1.6106393036926185,False,0.2364507827052267
TNn,SC,3.3760610902362056,0.6817800337745923,0.3884143345533273,0.3871282012792383,0.7066126469328795,2.1639352165400374,1.6106393036926185,False,0.2509028392373498
TNn,SD,-8.782414984192274,0.1996094144206353,0.9723195870338293,0.35700346106736003,0.06413137910361844,1.593063841625443,1.6106393036926185,False,0.9840028846871691
TNn,TN,-0.2542772886815145,0.41723630086338304,0.5362516861236271,0.48245099711476624,0.5436516520066883,1.9795906361084648,1.6106393036926185,False,0.23384922600580926
TNn,TX,4.3058656630594845,0.24730930398793927,0.507718012895011,0.2336555596306784,0.2540184626096025,1.242701339123231,1.6106393036926185,False,0.3524998075159228
TNn,UT,-6.465135787400527,0.3096409421361015,0.6786803682511016,0.19297617932674527,0.26939704259526653,1.4506945323092149,1.6106393036926185,False,0.7603140389113348
TNn,VA,-1.1286476506529886,0.4179687810416468,0.5726632913904504,0.5215120876203156,0.5841504751414739,2.0962946351938867,1.6106393036926185,False,0.15073504810856847
TNn,VT,-8.609211520169694,0.780301219057745,0.047518363516512174,0.6746046174510285,0.7187709678022536,2.2211951678275392,1.6106393036926185,False,0.4337549035297409
TNn,WA,-4.057280020362842,0.22544206050690985,0.4114909226430896,0.22193669934855853,-0.019678317568347037,0.839191364930211,1.6106393036926185,False,0.12632266339133288
TNn,WI,-8.610629240440705,0.699213814184076,0.9128557026076649,0.6710473790564162,0.20997506202446914,2.4930919578726263,1.6106393036926185,False,0.21945036666779935
TNn,WV,-4.542231014017119,0.49993950956613364,0.563539889065034,0.7632865603606622,0.5302250744657755,2.3569910334576054,1.6106393036926185,False,0.07515251537894484
TNn,WY,-11.888971737680519,0.2318051432592636,0.5637069917862707,0.2628722770265526,0.1515581998120492,1.209942611884136,1.6106393036926185,False,0.39816673790851603
TNx,AL,18.528939667908755,0.3589471508803612,0.7558810866628889,0.10269477886006229,0.26918954466456313,1.4867125610678755,1.4344188341268875,False,0.9410910743363948
TNx,AR,18.24240486928988,0.402454757449604,0.7854505453876186,0.07263938384836877,0.31757952369157394,1.5781242103771653,1.4344188341268875,False,0.8461331375744789
TNx,AZ,13.723611815397957,0.32376189613685824,0.494679270533549,0.19620759231603202,0.3124407147546968,1.327089473741136,1.4344188341268875,False,0.8240908467995316
TNx,CA,12.545705033368321,0.14451784333337514,0.5707896123535701,0.33436024765175176,0.1973199505556824,1.2469876538943794,1.4344188341268875,False,0.7430719741881215
TNx,CO,6.339148518062383,0.5622040140449176,0.4431598239599719,0.2270019632250868,0.328035171308489,1.5604009725384653,1.4344188341268875,False,0.8044563473204792
TNx,DC,16.31249975,0.49249988333333405,0.8041666999999997,0.28666691666666466,0.2733331666666672,1.8566666666666656,1.4344188341268875,False,0.5286623556047736
