variable,state,state_fips,mean,std,min,max,trend_per_decade,n_counties
TNn,AL,01,4.134767451550395,9.6779914813594,-10.554103912877867,19.721855735710502,0.3946632484814752,67
TNn,AZ,04,2.0149158928464566,8.268573580405103,-10.029035634037463,16.52451322933557,0.4026927699067388,15
TNn,AR,05,2.663759487432914,9.993817623089445,-13.863250678505347,19.402495560185777,0.46083006842972185,75
TNn,CA,06,1.6021669042487587,5.863436635887886,-7.396288061215973,12.092038789205608,0.42185009810040075,58
TNn,CO,08,-9.235920817289593,10.783229456015414,-26.884335511449482,8.77032752949934,0.5345562915983199,64
TNn,CT,09,0.0,0.0,0.0,0.0,0.0,9
TNn,DE,10,1.320861287030774,9.077795849916493,-13.376836291801993,16.61921385642283,0.459437392136722,3
TNn,DC,11,2.15434637003268,9.178745328530407,-12.49,17.74,0.41882862862289616,1
TNn,FL,12,10.380588376942695,8.078576143351988,-2.666287645229832,22.142186228312784,0.2820528489938995,67
TNn,GA,13,5.09037144982461,9.268001538852726,-8.90771003481469,19.797132973564725,0.3682266750379696,159
TNn,ID,16,-9.026709684937565,8.435445248682782,-24.489546790489772,5.031492695701182,0.6807984923822423,44
TNn,IL,17,-1.8273850182591052,10.808514672689466,-21.68735341047725,16.147659814220965,0.5635616723651177,102
TNn,IN,18,-2.0861610916660998,10.247461873526174,-21.07319983267744,15.357284041874692,0.5509330883395602,92
TNn,IA,19,-4.784778043289232,12.181330788419155,-25.496290651169915,15.299402538546309,0.5824949701988659,99
TNn,KS,20,-2.573890474122806,11.755542122026295,-21.138932527465876,17.551866402550353,0.5085437736628103,105
TNn,KY,21,-0.6066406588584263,9.97148767553547,-18.427584749448776,16.522780302432967,0.5100198081701911,120
TNn,LA,22,6.974719020146243,9.644501985653394,-7.3586731224827915,22.27337825617209,0.4204256935685751,64
TNn,ME,23,-7.6033241046195394,11.074611533857045,-27.461216945062606,9.509695670075155,0.5630524123477285,16
TNn,MD,24,0.5825360713212503,9.10123718742267,-14.298619729779904,16.150069727877998,0.4573454413271128,24
TNn,MA,25,-3.3159248992300947,9.322680467414187,-20.920991362407726,12.160936810095604,0.4584316685462111,14
TNn,MI,26,-5.1611111526723965,9.705849417705231,-21.571165281582072,10.855860514271628,0.5584255149899853,83
TNn,MN,27,-8.905147839828153,13.322282912238965,-31.63677248880863,12.042778685257577,0.6061197266545374,87
TNn,MS,28,4.5165751768652616,9.75967360920181,-10.441892857109353,20.45551189657863,0.4265815977032044,82
TNn,MO,29,-1.2913757871713287,10.993983460401378,-20.28184951627842,17.144853234261227,0.5452510891723232,115
TNn,MT,30,-10.989664457493717,11.599757485051786,-31.055184317249626,6.94887336190486,0.6434679951221725,56
TNn,NE,31,-6.306527255242866,12.322141312459351,-26.719689831966758,14.73197075042655,0.49732965417480224,93
TNn,NV,32,-5.307840422413074,8.158723143069086,-19.498753147850792,9.451187643981703,0.5749811705913321,17
