variable,state,state_fips,mean,std,min,max,trend_per_decade,n_counties
CDD,AL,01,23.061119720954643,1.2847538363260425,20.90606653867416,26.347193650723884,-0.05445567503085578,67
CDD,AZ,04,77.61428111626476,3.67545203902002,70.73612594765721,87.56513553803752,0.3565197027730395,15
CDD,AR,05,25.56286835164763,1.3542944581816498,22.60186343337688,28.26632380323095,0.04519857023338011,75
CDD,CA,06,116.39492615946666,4.296682587167528,104.18433214212911,124.98991760906797,0.5965343998548096,58
CDD,CO,08,36.915101696014474,1.2495273387402757,35.09464690596653,40.927393754447124,0.030016507002337343,64
CDD,CT,09,0.0,0.0,0.0,0.0,0.0,9
CDD,DE,10,18.534614288833318,0.9777631904664974,16.216278610396177,21.24297331049004,0.13422683160016094,3
CDD,DC,11,19.392156862745097,1.2818491545037431,17.0,22.0,0.0,1
CDD,FL,12,24.906429199773022,1.0672497586782466,23.20009501068014,27.365123719355108,-0.1385797780646589,67
CDD,GA,13,23.458120691166997,1.3922730807246861,21.253693328519642,26.57658431728963,-0.1209608713268469,159
CDD,ID,16,40.71073040687858,2.2348057735796845,36.61949478757468,45.95739543429336,0.29400882451708055,44
CDD,IL,17,21.902169208490246,1.0265830671359684,19.839412745958093,24.349463006470355,0.15495772333261726,102
CDD,IN,18,19.478647108478285,0.9993910694064173,17.398435848006798,22.892000587667066,0.12776932984366093,92
CDD,IA,19,26.633906967843302,1.1460969348682,24.50011313185396,28.70477952812836,0.12411692936260951,99
CDD,KS,20,37.242906342359554,1.646823805883819,34.0444721170157,40.54587245590311,0.0792262433836599,105
CDD,KY,21,19.387947875394826,0.9738201420837065,17.147009331118873,22.22786493849003,0.04644902555582951,120
CDD,LA,22,25.13577969161399,1.3258192732163074,22.867573535878282,28.65038308622542,-0.05903114958626339,64
CDD,ME,23,14.94236269354353,0.6533999936822126,13.6916374623028,16.547550127230522,-0.0029785755530806006,16
CDD,MD,24,18.492367777376245,0.9297640845136347,16.390673621211374,21.13496997513676,0.10525398209175642,24
CDD,MA,25,16.5892256978206,0.7912142619796553,14.9653287146302,18.23121942833874,0.12063782430031521,14
CDD,MI,26,17.477357517515337,0.6231054676009166,16.073267563165558,18.645724101059823,0.09334254494861811,83
CDD,MN,27,26.831289147078927,0.8994313325928237,24.913423342685807,29.69892891823783,0.07316952357768657,87
CDD,MS,28,24.589440860326867,1.3497723580829728,22.32380445703975,27.923636484539536,-0.04138800560718842,82
CDD,MO,29,24.399758590689945,1.176383027973684,22.129530875325507,26.604790991937953,0.07648021495492908,115
CDD,MT,30,35.17889997855924,1.4700909619908238,32.676694334624386,38.66664925387918,0.04951506221329876,56
CDD,NE,31,36.76986151357213,1.41097705679138,33.6009058087127,40.1296979006005,-0.03692432028112938,93
CDD,NV,32,69.50565402420408,3.3064625712896305,62.11341237577986,76.27512180714058,0.202591827133538,17
CDD,NH,33,15.270439363406641,0.7570235266092105,14.084997075791849,16.795933487456036,0.04502677533963102,10
CDD,NJ,34,17.824391428479597,0.9146846218459918,15.785537923759296,20.402033697165443,0.1764433197518275,21
