,variable,description,mean,std,min,max,trend_per_decade
0,TNn,Monthly minimum of daily minimum temperature (°C),-2.558852997681868,9.847147979428383,-18.296527724974077,13.663403038575314,0.5055873351420674
1,TNx,Monthly maximum of daily minimum temperature (°C),13.644354701198472,6.034069383991016,3.546036670207498,23.00701027973544,0.3257271865457911
2,TXn,Monthly minimum of daily maximum temperature (°C),10.990079917099333,10.404733448143494,-5.164550399952496,27.791343876181056,0.4356124654897305
3,TXx,Monthly maximum of daily maximum temperature (°C),27.670725723346266,7.725858532969099,14.407965731380278,38.40936844353733,0.30184478381110585
